,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
pSA_0.065793322000,0.117764724,0.069619242,0.525809588,0.477081149,0.460279285,0.846131884
pSA_0.070548023000,0.115294959,0.070195262,0.53064083,0.479813379,0.460900213,0.851016789
pSA_0.075646333000,0.114160739,0.070257685,0.53053338,0.483429386,0.45888186,0.851905041
pSA_0.081113083000,0.110258187,0.070385382,0.530255123,0.489585835,0.460004731,0.855844108
pSA_0.086974900000,0.104813001,0.070495241,0.529980263,0.495582511,0.458760751,0.858453569
pSA_0.093260335000,0.101711778,0.071826536,0.541102978,0.502561541,0.45871006,0.869353469
pSA_0.100000000000,0.103036931,0.072436818,0.54516391,0.510554998,0.457272245,0.875767093
pSA_0.107226722000,0.103594324,0.072294249,0.542745664,0.514591845,0.458719196,0.877382997
pSA_0.114975700000,0.102870708,0.072700782,0.546068581,0.516549199,0.460549402,0.881543942
pSA_0.123284674000,0.108190622,0.072982961,0.549112742,0.5139011,0.465129375,0.884287554
pSA_0.132194115000,0.106657539,0.073457274,0.552975437,0.516320702,0.466936591,0.88904369
pSA_0.141747416000,0.108135131,0.072993891,0.548110362,0.517391212,0.469536407,0.888022
pSA_0.151991108000,0.10683412,0.073138012,0.550604478,0.512308188,0.470937444,0.887359593
pSA_0.162975083000,0.109322036,0.073309661,0.551784877,0.513809728,0.472696061,0.889892439
pSA_0.174752840000,0.100989296,0.073252778,0.551327034,0.511560339,0.479613726,0.892011662
pSA_0.187381742000,0.09572093,0.072692668,0.54741463,0.504688171,0.482045707,0.886984211
pSA_0.200000000000,0.091366731,0.071426403,0.538278839,0.49200205,0.48156793,0.87390949
pSA_0.200923300000,0.090512297,0.071388466,0.5380648,0.491321581,0.481706557,0.87347114
pSA_0.215443469000,0.07924467,0.071988249,0.545259628,0.484099117,0.484496909,0.875441187
pSA_0.231012970000,0.067124844,0.072459857,0.550983675,0.477214159,0.48916715,0.877838746
pSA_0.247707636000,0.060241218,0.072706879,0.553084413,0.477924604,0.490514864,0.880294908
pSA_0.265608778000,0.057862963,0.073100994,0.555754247,0.483493345,0.487909691,0.883563503
pSA_0.284803587000,0.05335295,0.072678165,0.552433489,0.479417861,0.49129002,0.881130029
pSA_0.300000000000,0.035857852,0.072896174,0.55534641,0.47554869,0.491364288,0.880905815
pSA_0.305385551000,0.028247813,0.072830394,0.554767026,0.475739844,0.490001271,0.879884139
pSA_0.327454916000,0.004980911,0.072123505,0.549805112,0.46866623,0.487068691,0.871303395
pSA_0.351119173000,-0.023400373,0.070967721,0.541530955,0.456212308,0.487838527,0.859867359
pSA_0.376493581000,-0.058823729,0.070504882,0.538443752,0.449665528,0.489841689,0.855608346
pSA_0.400000000000,-0.077587564,0.070629169,0.537259057,0.460467072,0.490112968,0.860748476
pSA_0.403701726000,-0.079519225,0.070670889,0.537169311,0.462505502,0.490702401,0.862120093
pSA_0.432876128000,-0.09798353,0.07094885,0.537144294,0.473201289,0.495212863,0.870447719
