Site,Latitude (°),Longitude (°),Basin,Geomorphology,Basin Type (NZVM 2.09),Vs30,Z1 (NZVM 2.09),Z1 (GTL),"Z1, sim (NZVM 2.09)","Z1, sim (GTL)",NEs,Ratio
HMCS,-42.716922,170.9639589,WestCoast,Basin,Type 1,278,349.13,77.87,345.13,73.87,11,4.672126709
HOCS,-40.62164383,175.2794232,PalmerstonNorth,Basin,Type 1,250,531.63,61.62,504.63,34.62,8,14.5762565
HORC,-43.53963553,171.9599076,Canterbury,Basin,Type 4,531,1061.05,50.54,878.05,25.55,5,34.36594912
HPSC,-43.50157547,172.7021942,Canterbury,Basin,Type 4,194,642.26,96.28,640.26,94.28,14,6.791047942
HSES,-42.52324224,172.8304938,Hanmer,Basin,Type 1,280,374.28,63.99,187.24,32.28,36,5.800495663
HSSS,-41.15193505,174.9814773,-,Hill,Non-Basin,526,50.64,50.64,25.78,25.78,8,1
HUKS,-39.26090321,174.5680897,-,Hill,Non-Basin,270,52.85,52.85,26.83,26.83,5,1
HUNS,-43.57937,172.65723,BPVOutcrops,Hill,Non-Basin,680,70.76,21.87,35.68,11.24,18,3.174377224
HVSC,-43.579787,172.709423,Canterbury,Basin Edge,Type 4,348,0,52.22,0,26.25,25,0
HWHS,-39.58513919,174.2742448,-,Hill,Non-Basin,210,80.24,80.24,40.29,40.29,5,1
IFPS,-42.72674365,171.4728354,WestCoast,Basin Edge,Type 1,284,58.6,58.6,29.79,29.79,28,1
INGS,-41.85712387,171.9525458,WestCoast,Valley,Type 1,334,67.68,67.68,34.31,34.31,16,1
INHS,-39.15622017,174.1905255,-,Hill,Non-Basin,317,69.55,69.55,35.24,35.24,5,1
INZ,-42.7245,171.4441,-,Hill,Non-Basin,1500,46.83,46.83,23.65,23.65,34,1
JCZ,-44.07321036,168.7854734,-,Hill,Non-Basin,1500,36.56,36.56,18.32,18.32,3,1
KAFS,-38.0835149,176.7092902,Whakatane,Basin,Type 1,220,71.65,71.65,39.65,39.65,6,1
KARS,-41.24942014,172.1164507,Karamea,Basin,Type 1,214,150.44,78.59,142.44,70.59,16,2.017849554
KEKS,-41.95569,173.98141,-,Hill,Non-Basin,622,61.45,61.45,31.09,31.09,25,1
KFHS,-39.43337107,176.4669625,-,Hill,Non-Basin,760,63.5,63.5,32.23,32.23,4,1
KHLS,-40.55704,172.61189,-,Hill,Non-Basin,622,62.92,62.92,38.92,38.92,22,1
KHZ,-42.41598,173.53897,Kaikoura,Hill,Non-Basin,600,65.19,65.19,32.69,32.69,20,1
KIKS,-42.42581201,173.6821252,Kaikoura,Hill,Non-Basin,800,121.13,14.4,119.13,12.35,16,9.646153846
KIRS,-41.07688392,175.2300107,-,Hill,Non-Basin,329,63.1,63.1,32.03,32.03,19,1
KLDS,-41.67309195,172.8749583,Nelson,Basin,Type 3,323,633.2,60.82,316.2,30.77,11,10.27624309
KNZ,-39.02175522,177.6736688,-,Hill,Non-Basin,800,66.57,66.57,33.37,33.37,4,1
KOKS,-42.89168682,171.1356402,WestCoast,Valley,Type 1,264,62.44,62.44,31.39,31.39,15,1
KOWC,-43.32146,171.85485,Canterbury,Valley,Type 4,244,61.21,61.21,31.01,31.01,14,1
KPOC,-43.3764632,172.6637676,Canterbury,Basin,Type 4,257,1335.05,97.49,1333.05,95.49,26,13.96010053
KUZ,-36.74522853,175.7208729,-,Hill,Non-Basin,673,49.66,49.66,25.08,25.08,5,1
LBZ,-44.38555284,170.1844199,-,Hill,Non-Basin,1000,59.46,59.46,29.91,29.91,16,1
LCQC,-43.608578,172.729678,BPVOutcrops,Hill,Non-Basin,600,63.5,85.55,31.87,48.55,5,0.656436663
LHBS,-41.19664587,174.892316,-,Hill,Non-Basin,626,44.55,44.55,22.57,22.57,18,1
LHES,-41.21168624,174.903336,Wellington,Basin,Type 3,222,165.27,59.53,157.27,51.53,20,3.052008539
LHRS,-41.20473605,174.8931859,-,Hill,Non-Basin,622,37.26,37.26,19.13,19.13,16,1
LHUS,-41.23084665,174.8936358,Wellington,Basin,Type 3,212,238.16,57.72,237.16,56.72,11,4.181241185
LINC,-43.62317904,172.4680038,Canterbury,Basin,Type 4,292,340.65,85.14,324.65,69.14,13,4.69554527
LIRS,-41.23231,174.91929,Wellington,Basin Edge,Type 3,400,64.31,64.31,32.17,32.17,19,1
LNBS,-41.20498,174.9266,Wellington,Basin,Type 3,330,123.44,65.24,114.44,56.24,11,2.03485064
LPCC,-43.60785,172.724778,BPVOutcrops,Hill,Non-Basin,760,49.98,89.5,32.98,72.5,17,0.454896552
LPOC,-43.608378,172.714823,Canterbury,Valley,Type 4,446,25.83,14.36,24.83,13.31,12,1.865514651
LRSS,-41.2294301,174.9042459,Wellington,Basin,Type 3,256,196.23,56.1,194.23,54.1,12,3.590203327
LSRC,-42.86952006,172.5432885,NorthCanterbury,Basin,Type 1,455,58.16,58.16,29.53,29.53,13,1
LTZ,-42.78166716,172.2710354,-,Hill,Non-Basin,1000,53.61,53.61,27.04,27.04,24,1
MATS,-41.42895,172.7037,-,Hill,Non-Basin,622,56.16,56.16,28.21,28.21,16,1
MAVS,-41.21085751,175.4614831,Wairarapa,Basin,Type 1,390,82.64,82.64,56.64,56.64,11,1
MAYC,-43.82306143,171.4217091,Canterbury,Basin,Type 4,500,641.05,74.54,381.05,37.5,19,10.16133333
MCAS,-41.79993351,172.3280308,Murchison,Basin,Type 1,501,211.37,70.16,105.33,35.22,8,2.990630324
MCNS,-43.73645,170.0972,Mackenzie,Valley,Type 1,271,47.95,44.99,24.91,22.85,9,1.090153173
MECS,-44.23044589,169.2329383,Wanaka,Valley,Type 1,271,57.17,57.17,28.72,28.72,6,1
MENS,-43.55849,172.71149,Canterbury,Hill,Non-Basin,583,113.97,90.57,81.97,58.57,13,1.39952194
MGCS,-41.50768077,173.9443926,Marlborough,Basin,Type 1,402,611,66.73,601,56.73,19,10.59404195
MISS,-41.31488841,174.8184345,Wellington,Valley,Type 3,274,68.95,66.19,59.95,57.19,20,1.048260185
MKBS,-41.2259,174.6981,-,Hill,Non-Basin,1000,41.8,41.8,21.14,21.14,23,1
MKVS,-41.26542095,174.7055245,-,Hill,Non-Basin,480,55.21,55.21,27.72,27.72,20,1
MLZ,-45.36654353,168.1184068,-,Hill,Non-Basin,1500,59.74,59.74,30.27,30.27,4,1
MNGS,-39.80778,175.79083,-,Hill,Non-Basin,298,54.08,54.08,27.06,27.06,7,1
MNZS,-43.637364,172.973808,BPVOutcrops,Hill,Non-Basin,679,107.22,81.28,53.87,40.9,16,1.317114914
MOLS,-42.08802277,173.2574013,-,Hill,Non-Basin,600,61.71,61.71,31.04,31.04,12,1
MORS,-43.5395,172.6214,Canterbury,Basin,Type 4,178,471.93,95.01,464.93,88.01,6,5.282695148
MOSS,-45.6678024,168.2378365,Southland,Basin,Type 2,265,70.92,70.92,35.89,35.89,3,1
MOTS,-41.12468961,173.0095025,Nelson,Basin,Type 3,245,156.2,70.92,150.2,64.92,15,2.313616759
MPSS,-43.499375,172.642253,Canterbury,Basin,Type 4,180,689.59,100.05,684.59,95.05,9,7.202419779
MQZ,-43.70608168,172.6537658,BPVOutcrops,Hill,Non-Basin,750,44.69,44.69,22.4,22.4,34,1
MRZ,-40.66054537,175.5785268,-,Hill,Non-Basin,800,55.03,55.03,27.81,27.81,19,1
MSMC,-43.70458829,171.4022695,Canterbury,Basin,Type 4,500,241.05,70.96,120.05,35.6,7,3.372191011
MSZ,-44.67333378,167.9263986,-,Hill,Non-Basin,1500,64.69,64.69,52.69,52.69,5,1
MTHS,-43.563194,171.666362,Canterbury,Basin,Type 4,399,717.05,54.17,358.05,27.31,19,13.1105822
MTHZ,-38.8523,176.8411,-,Hill,Non-Basin,625,55.61,55.61,28.19,28.19,11,1
MTPS,-43.584671,172.725601,BPVOutcrops,Hill,Non-Basin,763,71.15,28.71,35.87,14.65,7,2.448464164
MWDS,-39.40673894,175.7526737,-,Hill,Non-Basin,679,51.55,51.55,26.14,26.14,4,1
MWFS,-37.8591406,176.6688805,Whakatane,Hill,Non-Basin,622,239.22,68.43,198.22,34.67,7,5.717334872
MWZ,-38.3340014,177.5277793,-,Hill,Non-Basin,800,48.22,48.22,24.14,24.14,13,1
MXZ,-37.56225851,178.3066313,-,Hill,Non-Basin,1000,68.17,68.17,34.21,34.21,14,1
NBLC,-43.50685883,172.7313538,Canterbury,Basin,Type 4,189,597.96,97.86,596.96,96.86,11,6.163122032
NBSS,-41.202272,174.953755,Wellington,Basin Edge,Type 3,190,67.2,67.2,51.2,51.2,20,1
NCBS,-41.27087365,173.2836753,Nelson,Valley,Type 3,335,161.2,61.92,150.2,50.92,18,2.949725059
